agency,df,ver,tmp_file,UNICEF_INDICATOR,DATA_SOURCE,OBS_FOOTNOTE,dq,indic_name,
UNESCO,SDG4,2.0,EDU_SDG_PRYAb.csv,EDU_SDG_PRYA_PT,UIS,,PRYA.PT..._T+F+M.Y_GE15.............AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Participation rate of youth and adults in formal and non-formal education and training for the previous 12 months
UNESCO,SDG4,2.0,EDU_SDG_SCH_L1.csv,EDU_SDG_SCH_L1,UIS,,SCH..L1.........ADAPT_INFR_MAT_DIS.......AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of schools with access to adapted infrastructure and materials - Primary,
UNESCO,SDG4,2.0,EDU_SDG_SCH_L2.csv,EDU_SDG_SCH_L2,UIS,,SCH..L2.........ADAPT_INFR_MAT_DIS.......AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of schools with access to adapted infrastructure and materials - Lower secondary,
UNESCO,SDG4,2.0,EDU_SDG_SCH_L3.csv,EDU_SDG_SCH_L3,UIS,,SCH..L3.........ADAPT_INFR_MAT_DIS.......AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of schools with access to adapted infrastructure and materials - Upper secondary,
UNESCO,SDG4,2.0,EDU_SDG_TRTP_L02.csv,EDU_SDG_TRTP_L02,UIS,,TRTP.PT.L02.._T..............AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country (SDG 4.c.1) - Pre-primary,
UNESCO,SDG4,2.0,EDU_SDG_TRTP_L1.csv,EDU_SDG_TRTP_L1,UIS,,TRTP.PT.L1.._T..............AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country (SDG 4.c.1) - Primary,
UNESCO,SDG4,2.0,EDU_SDG_TRTP_L2.csv,EDU_SDG_TRTP_L2,UIS,,TRTP.PT.L2.._T..............AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country (SDG 4.c.1) - Lower secondary,
UNESCO,SDG4,2.0,EDU_SDG_TRTP_L3.csv,EDU_SDG_TRTP_L3,UIS,,TRTP.PT.L3................AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country (SDG 4.c.1) - Upper secondary,
UNESCO,SDG4,2.0,EDU_SDG_PTTR_L02.csv,EDU_SDG_PTTR_L02,UIS,,PTTR..L02................AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Pupil-trained teacher ratio (SDG 4.c.2) - Pre-primary,
UNESCO,SDG4,2.0,EDU_SDG_PTTR_L1.csv,EDU_SDG_PTTR_L1,UIS,,PTTR..L1................AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Pupil-trained teacher ratio (SDG 4.c.2) - Primary,
UNESCO,SDG4,2.0,EDU_SDG_PTTR_L2.csv,EDU_SDG_PTTR_L2,UIS,,PTTR..L2................AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Pupil-trained teacher ratio (SDG 4.c.2) - Lower secondary,
UNESCO,SDG4,2.0,EDU_SDG_PTTR_L3.csv,EDU_SDG_PTTR_L3,UIS,,PTTR..L3................AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Pupil-trained teacher ratio (SDG 4.c.2) - Upper secondary,
UNESCO,SDG4,2.0,EDU_SDG_QUTP_L02.csv,EDU_SDG_QUTP_L02,UIS,,QUTP.PT.L02.._T..............AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of teachers qualified according to national standards (SDG 4.c.3) - Pre-primary,
UNESCO,SDG4,2.0,EDU_SDG_QUTP_L1.csv,EDU_SDG_QUTP_L1,UIS,,QUTP.PT.L1.._T..............AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of teachers qualified according to national standards (SDG 4.c.3) - Primary,
UNESCO,SDG4,2.0,EDU_SDG_QUTP_L2.csv,EDU_SDG_QUTP_L2,UIS,,QUTP.PT.L2.._T..............AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of teachers qualified according to national standards (SDG 4.c.3) - Lower secondary,
UNESCO,SDG4,2.0,EDU_SDG_QUTP_L3.csv,EDU_SDG_QUTP_L3,UIS,,QUTP.PT.L3.._T..............AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of teachers qualified according to national standards (SDG 4.c.3) - Upper secondary,
UNESCO,SDG4,2.0,EDU_SDG_PQTR_L02.csv,EDU_SDG_PQTR_L02,UIS,,PQTR..L02................AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Pupil-qualified teacher ratio (SDG 4.c.4) - Pre-primary,
UNESCO,SDG4,2.0,EDU_SDG_PQTR_L1.csv,EDU_SDG_PQTR_L1,UIS,,PQTR..L1................AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Pupil-qualified teacher ratio (SDG 4.c.4) - Primary,
UNESCO,SDG4,2.0,EDU_SDG_PQTR_L2.csv,EDU_SDG_PQTR_L2,UIS,,PQTR..L2................AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Pupil-qualified teacher ratio (SDG 4.c.4) - Lower secondary,
UNESCO,SDG4,2.0,EDU_SDG_PQTR_L3.csv,EDU_SDG_PQTR_L3,UIS,,PQTR..L3................AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Pupil-qualified teacher ratio (SDG 4.c.4) - Upper secondary,
